epoch,step,test/acc,test/f1,test/loss,train/acc,train/f1,train/loss,val/acc,val/f1,val/loss
0,12,,,,,,,0.1340206116437912,0.10238853842020035,2.2437071800231934
0,12,,,,0.118863046169281,0.0876576229929924,2.5328240394592285,,,
1,25,,,,,,,0.17525772750377655,0.15255536139011383,2.253997564315796
1,25,,,,0.11627907305955887,0.07323908805847168,2.3533248901367188,,,
2,38,,,,,,,0.2164948433637619,0.16531647741794586,2.2313032150268555
2,38,,,,0.1705426424741745,0.13554739952087402,2.2869362831115723,,,
3,51,,,,,,,0.25773194432258606,0.20050859451293945,2.1990699768066406
3,51,,,,0.20930232107639313,0.17333459854125977,2.2392618656158447,,,
4,64,,,,,,,0.2164948433637619,0.16455073654651642,2.193408250808716
4,64,,,,0.22739018499851227,0.20522578060626984,2.2213048934936523,,,
5,77,,,,,,,0.20618556439876556,0.17544591426849365,2.148818016052246
5,77,,,,0.1860465109348297,0.15883399546146393,2.2115859985351562,,,
6,90,,,,,,,0.17525772750377655,0.12608784437179565,2.1641807556152344
6,90,,,,0.21705426275730133,0.17269974946975708,2.184614896774292,,,
7,103,,,,,,,0.25773194432258606,0.2227233350276947,2.0150907039642334
7,103,,,,0.21188630163669586,0.19256244599819183,2.125155210494995,,,
8,116,,,,,,,0.2164948433637619,0.1838296353816986,2.0867674350738525
8,116,,,,0.28423771262168884,0.26155829429626465,2.1078789234161377,,,
9,129,,,,,,,0.2989690601825714,0.2785305082798004,2.0101523399353027
9,129,,,,0.2687338590621948,0.24920636415481567,2.065028190612793,,,
10,130,0.28346458077430725,0.3286803066730499,2.139622449874878,,,,,,
