epoch,step,test/acc,test/f1,test/loss,train/acc,train/f1,train/loss,val/acc,val/f1,val/loss
0,12,,,,,,,0.14432989060878754,0.06933867931365967,2.3417141437530518
0,12,,,,0.09043927490711212,0.0402226522564888,2.4258806705474854,,,
1,25,,,,,,,0.12371134012937546,0.060729146003723145,2.2935919761657715
1,25,,,,0.1550387591123581,0.08103054016828537,2.3168537616729736,,,
2,38,,,,,,,0.14432989060878754,0.09809704124927521,2.2649645805358887
2,38,,,,0.15245477855205536,0.08253151923418045,2.2819061279296875,,,
3,51,,,,,,,0.1340206116437912,0.09139257669448853,2.2560505867004395
3,51,,,,0.1705426424741745,0.10230279713869095,2.257354974746704,,,
4,64,,,,,,,0.17525772750377655,0.1583349108695984,2.2359120845794678
4,64,,,,0.19121447205543518,0.156477153301239,2.2429957389831543,,,
5,77,,,,,,,0.20618556439876556,0.2194143533706665,2.2604548931121826
5,77,,,,0.18087854981422424,0.15168100595474243,2.241112470626831,,,
6,90,,,,,,,0.17525772750377655,0.15281523764133453,2.29673433303833
6,90,,,,0.21705426275730133,0.18375875055789948,2.2148711681365967,,,
7,103,,,,,,,0.12371134012937546,0.09953740984201431,2.2644999027252197
7,103,,,,0.19638243317604065,0.17623355984687805,2.197361946105957,,,
8,116,,,,,,,0.2164948433637619,0.2173178344964981,2.2168381214141846
8,116,,,,0.20930232107639313,0.17053881287574768,2.1970136165618896,,,
9,129,,,,,,,0.1855670064687729,0.1823827475309372,2.264125347137451
9,129,,,,0.1705426424741745,0.13827800750732422,2.222616195678711,,,
10,130,0.21259842813014984,0.24443772435188293,2.309746503829956,,,,,,
