epoch,step,test/acc,test/f1,test/loss,train/acc,train/f1,train/loss,val/acc,val/f1,val/loss
0,12,,,,,,,0.1855670064687729,0.14829044044017792,2.345996141433716
0,12,,,,0.12403100728988647,0.07224059104919434,2.4311373233795166,,,
1,25,,,,,,,0.12371134012937546,0.1190037950873375,2.353127956390381
1,25,,,,0.17571058869361877,0.14225204288959503,2.2744851112365723,,,
2,38,,,,,,,0.12371134012937546,0.08590298891067505,2.3596367835998535
2,38,,,,0.1343669295310974,0.10934346914291382,2.2856452465057373,,,
3,51,,,,,,,0.15463916957378387,0.13292424380779266,2.3173153400421143
3,51,,,,0.15762273967266083,0.11890999227762222,2.2332677841186523,,,
4,64,,,,,,,0.22680412232875824,0.1876322627067566,2.2807652950286865
4,64,,,,0.18863049149513245,0.14464713633060455,2.212697982788086,,,
5,77,,,,,,,0.20618556439876556,0.15415455400943756,2.2917871475219727
5,77,,,,0.2067183405160904,0.18909190595149994,2.1926372051239014,,,
6,90,,,,,,,0.23711340129375458,0.21960139274597168,2.1959290504455566
6,90,,,,0.19896641373634338,0.1716126799583435,2.2011466026306152,,,
7,103,,,,,,,0.20618556439876556,0.18468113243579865,2.3131561279296875
7,103,,,,0.18863049149513245,0.17386522889137268,2.172405481338501,,,
8,116,,,,,,,0.20618556439876556,0.1748574674129486,2.1747920513153076
8,116,,,,0.2067183405160904,0.1705944836139679,2.190478563308716,,,
9,129,,,,,,,0.23711340129375458,0.18945343792438507,2.190040111541748
9,129,,,,0.21705426275730133,0.16564971208572388,2.1532845497131348,,,
10,130,0.14173229038715363,0.17118313908576965,2.2790420055389404,,,,,,
